season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_line,selected_close_price,closing_total,clv_price_delta,clv_implied_probability_delta,clv_result
2026,2026-04-03,824377,OU,OVER,Colorado Rockies,Philadelphia Phillies,2026-04-03 23:55:00+00:00,HistoricalBasic,2026-04-03 23:59:00+00:00,True,10.0,-115.0,10.0,0.0,,PUSH
2026,2026-04-03,823406,OU,OVER,Pittsburgh Pirates,Baltimore Orioles,2026-04-03 23:55:00+00:00,HistoricalBasic,2026-04-03 23:59:00+00:00,True,8.5,-115.0,8.5,1.0,,WIN
2026,2026-04-04,824295,OU,OVER,Detroit Tigers,St. Louis Cardinals,2026-04-04 23:55:00+00:00,HistoricalBasic,2026-04-04 23:59:00+00:00,True,7.5,-102.0,7.5,0.0,,PUSH
2026,2026-04-04,823730,OU,OVER,Minnesota Twins,Tampa Bay Rays,2026-04-04 23:55:00+00:00,HistoricalBasic,2026-04-04 23:59:00+00:00,True,7.5,-110.0,7.5,0.0,,PUSH
2026,2026-04-05,823729,OU,OVER,Minnesota Twins,Tampa Bay Rays,2026-04-05 23:55:00+00:00,HistoricalBasic,2026-04-05 23:59:00+00:00,True,8.0,-105.0,8.0,0.0,,PUSH
2026,2026-04-05,824379,OU,OVER,Colorado Rockies,Philadelphia Phillies,2026-04-05 23:55:00+00:00,HistoricalBasic,2026-04-05 23:59:00+00:00,True,11.0,-120.0,11.0,0.0,,PUSH
2026,2026-04-06,824376,OU,OVER,Colorado Rockies,Houston Astros,2026-04-06 23:55:00+00:00,HistoricalBasic,2026-04-06 23:59:00+00:00,True,10.5,-115.0,10.5,0.5,,WIN
2026,2026-04-06,822832,OU,OVER,Toronto Blue Jays,Los Angeles Dodgers,2026-04-06 23:55:00+00:00,HistoricalBasic,2026-04-06 23:59:00+00:00,True,9.0,-105.0,9.0,0.5,,WIN
2026,2026-04-07,822831,OU,OVER,Toronto Blue Jays,Los Angeles Dodgers,2026-04-07 23:55:00+00:00,HistoricalBasic,2026-04-07 23:59:00+00:00,True,7.5,-105.0,7.5,0.0,,PUSH
2026,2026-04-08,824455,OU,OVER,Cleveland Guardians,Kansas City Royals,2026-04-08 23:55:00+00:00,HistoricalBasic,2026-04-08 23:59:00+00:00,True,7.0,-110.0,7.0,0.0,,PUSH
