season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_price,wager_price,selected_open_price
2024,2024-04-12,747055,ML,AWAY,Baltimore Orioles,Milwaukee Brewers,2024-04-12 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-04-13,745110,ML,HOME,Tampa Bay Rays,San Francisco Giants,2024-04-13 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-04-14,745841,ML,HOME,New York Mets,Kansas City Royals,2024-04-14 12:00:00+00:00,HistoricalBasic,114.0,114.0,114.0
2024,2024-04-15,746002,ML,HOME,Milwaukee Brewers,San Diego Padres,2024-04-15 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-04-15,746488,ML,HOME,Detroit Tigers,Texas Rangers,2024-04-15 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-04-16,744944,ML,HOME,Toronto Blue Jays,New York Yankees,2024-04-16 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-04-17,746005,ML,HOME,Milwaukee Brewers,San Diego Padres,2024-04-17 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-04-17,744948,ML,HOME,Toronto Blue Jays,New York Yankees,2024-04-17 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-04-17,745836,ML,HOME,New York Mets,Pittsburgh Pirates,2024-04-17 12:00:00+00:00,HistoricalBasic,-132.0,-132.0,-132.0
2024,2024-04-17,747049,ML,HOME,Baltimore Orioles,Minnesota Twins,2024-04-17 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-04-18,746970,ML,AWAY,Boston Red Sox,Cleveland Guardians,2024-04-18 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-04-19,746650,ML,AWAY,Cleveland Guardians,Oakland Athletics,2024-04-19 12:00:00+00:00,HistoricalBasic,146.0,146.0,146.0
2024,2024-04-20,745354,ML,HOME,San Francisco Giants,Arizona Diamondbacks,2024-04-20 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-04-22,746242,ML,AWAY,Los Angeles Angels,Baltimore Orioles,2024-04-22 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-04-22,745107,ML,HOME,Tampa Bay Rays,Detroit Tigers,2024-04-22 12:00:00+00:00,HistoricalBasic,-104.0,-104.0,-104.0
2024,2024-04-23,746647,ML,HOME,Cleveland Guardians,Boston Red Sox,2024-04-23 12:00:00+00:00,HistoricalBasic,-112.0,-112.0,-112.0
