season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_line,selected_close_price,closing_total,clv_price_delta,clv_implied_probability_delta,clv_result
2024,2024-05-03,746890,OU,OVER,Chicago Cubs,Milwaukee Brewers,2024-05-03 23:55:00+00:00,HistoricalBasic,2024-05-03 23:59:00+00:00,True,7.5,-105.0,7.5,0.0,,PUSH
2024,2024-05-04,745666,OU,OVER,Oakland Athletics,Miami Marlins,2024-05-04 23:55:00+00:00,HistoricalBasic,2024-05-04 23:59:00+00:00,True,7.0,102.0,7.0,0.0,,PUSH
2024,2024-05-11,745505,OU,OVER,Pittsburgh Pirates,Chicago Cubs,2024-05-11 23:55:00+00:00,HistoricalBasic,2024-05-11 23:59:00+00:00,True,7.0,-118.0,7.0,-0.5,,LOSS
2024,2024-05-13,746233,OU,OVER,Los Angeles Angels,St. Louis Cardinals,2024-05-13 23:55:00+00:00,HistoricalBasic,2024-05-13 23:59:00+00:00,True,8.5,-114.0,8.5,0.0,,PUSH
2024,2024-05-14,746235,OU,OVER,Los Angeles Angels,St. Louis Cardinals,2024-05-14 23:55:00+00:00,HistoricalBasic,2024-05-14 23:59:00+00:00,True,7.5,110.0,7.5,0.0,,PUSH
2024,2024-05-15,746231,OU,OVER,Los Angeles Angels,St. Louis Cardinals,2024-05-15 23:55:00+00:00,HistoricalBasic,2024-05-15 23:59:00+00:00,True,8.5,100.0,8.5,0.0,,PUSH
2024,2024-05-16,746881,OU,OVER,Chicago Cubs,Pittsburgh Pirates,2024-05-16 23:55:00+00:00,HistoricalBasic,2024-05-16 23:59:00+00:00,True,8.0,-114.0,8.0,0.5,,WIN
2024,2024-05-17,745747,OU,OVER,New York Yankees,Chicago White Sox,2024-05-17 23:55:00+00:00,HistoricalBasic,2024-05-17 23:59:00+00:00,True,7.5,-130.0,7.5,0.0,,PUSH
2024,2024-05-17,745335,OU,OVER,San Francisco Giants,Colorado Rockies,2024-05-17 23:55:00+00:00,HistoricalBasic,2024-05-17 23:59:00+00:00,True,7.5,100.0,7.5,0.5,,WIN
2024,2024-05-18,746642,OU,OVER,Cleveland Guardians,Minnesota Twins,2024-05-18 23:55:00+00:00,HistoricalBasic,2024-05-18 23:59:00+00:00,True,7.5,100.0,7.5,0.0,,PUSH
2024,2024-05-19,746880,OU,OVER,Chicago Cubs,Pittsburgh Pirates,2024-05-19 23:55:00+00:00,HistoricalBasic,2024-05-19 23:59:00+00:00,True,8.0,-102.0,8.0,0.5,,WIN
2024,2024-05-19,745012,OU,OVER,Texas Rangers,Los Angeles Angels,2024-05-19 23:55:00+00:00,HistoricalBasic,2024-05-19 23:59:00+00:00,True,8.5,-118.0,8.5,0.0,,PUSH
2024,2024-05-22,745502,OU,OVER,Pittsburgh Pirates,San Francisco Giants,2024-05-22 23:55:00+00:00,HistoricalBasic,2024-05-22 23:59:00+00:00,True,7.5,-104.0,7.5,0.0,,PUSH
2024,2024-05-22,745743,OU,OVER,New York Yankees,Seattle Mariners,2024-05-22 23:55:00+00:00,HistoricalBasic,2024-05-22 23:59:00+00:00,True,8.5,-110.0,8.5,1.0,,WIN
2024,2024-05-23,745500,OU,OVER,Pittsburgh Pirates,San Francisco Giants,2024-05-23 23:55:00+00:00,HistoricalBasic,2024-05-23 23:59:00+00:00,True,8.5,102.0,8.5,0.0,,PUSH
2024,2024-05-25,746710,OU,UNDER,Cincinnati Reds,Los Angeles Dodgers,2024-05-25 23:55:00+00:00,HistoricalBasic,2024-05-25 23:59:00+00:00,True,9.5,-112.0,9.5,-0.0,,PUSH
2024,2024-05-26,746230,OU,OVER,Los Angeles Angels,Cleveland Guardians,2024-05-26 23:55:00+00:00,HistoricalBasic,2024-05-26 23:59:00+00:00,True,8.5,100.0,8.5,0.0,,PUSH
2024,2024-05-27,745338,OU,OVER,San Francisco Giants,Philadelphia Phillies,2024-05-27 23:55:00+00:00,HistoricalBasic,2024-05-27 23:59:00+00:00,True,8.0,-110.0,8.0,0.5,,WIN
2024,2024-05-31,746635,OU,OVER,Cleveland Guardians,Washington Nationals,2024-05-31 23:55:00+00:00,HistoricalBasic,2024-05-31 23:59:00+00:00,True,7.5,-118.0,7.5,0.0,,PUSH
2024,2024-06-01,745251,OU,OVER,Seattle Mariners,Los Angeles Angels,2024-06-01 23:55:00+00:00,HistoricalBasic,2024-06-01 23:59:00+00:00,True,7.5,102.0,7.5,0.0,,PUSH
2024,2024-06-01,746870,OU,OVER,Chicago Cubs,Cincinnati Reds,2024-06-01 23:55:00+00:00,HistoricalBasic,2024-06-01 23:59:00+00:00,True,7.5,100.0,7.5,0.0,,PUSH
2024,2024-06-02,746871,OU,OVER,Chicago Cubs,Cincinnati Reds,2024-06-02 23:55:00+00:00,HistoricalBasic,2024-06-02 23:59:00+00:00,True,6.5,-135.0,6.5,-1.0,,LOSS
2024,2024-06-02,745330,OU,OVER,San Francisco Giants,New York Yankees,2024-06-02 23:55:00+00:00,HistoricalBasic,2024-06-02 23:59:00+00:00,True,7.5,-120.0,7.5,0.0,,PUSH
2024,2024-06-04,746222,OU,OVER,Los Angeles Angels,San Diego Padres,2024-06-04 23:55:00+00:00,HistoricalBasic,2024-06-04 23:59:00+00:00,True,8.5,-118.0,8.5,0.0,,PUSH
2024,2024-06-04,745656,OU,OVER,Oakland Athletics,Seattle Mariners,2024-06-04 23:55:00+00:00,HistoricalBasic,2024-06-04 23:59:00+00:00,True,7.5,-122.0,7.5,0.0,,PUSH
2024,2024-06-05,746221,OU,OVER,Los Angeles Angels,San Diego Padres,2024-06-05 23:55:00+00:00,HistoricalBasic,2024-06-05 23:59:00+00:00,True,7.5,-135.0,7.5,-0.5,,LOSS
2024,2024-06-05,745654,OU,OVER,Oakland Athletics,Seattle Mariners,2024-06-05 23:55:00+00:00,HistoricalBasic,2024-06-05 23:59:00+00:00,True,7.5,-128.0,7.5,0.0,,PUSH
2024,2024-06-07,745655,OU,OVER,Oakland Athletics,Toronto Blue Jays,2024-06-07 23:55:00+00:00,HistoricalBasic,2024-06-07 23:59:00+00:00,True,7.5,-120.0,7.5,0.0,,PUSH
2024,2024-06-12,745328,OU,OVER,San Francisco Giants,Houston Astros,2024-06-12 23:55:00+00:00,HistoricalBasic,2024-06-12 23:59:00+00:00,True,7.5,104.0,7.5,0.5,,WIN
