season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_price,selected_close_price,clv_price_delta,clv_implied_probability_delta,clv_result
2025,2025-05-24,777803,ML,HOME,Atlanta Braves,San Diego Padres,2025-05-24 23:55:00+00:00,HistoricalBasic,2025-05-24 23:59:00+00:00,True,-155.0,-155.0,-260.0,0.12003825920612143,WIN
2025,2025-05-25,777775,ML,AWAY,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 23:55:00+00:00,HistoricalBasic,2025-05-25 23:59:00+00:00,True,-110.0,-110.0,-8.0,0.01885902876001888,WIN
2025,2025-05-27,777747,ML,AWAY,Milwaukee Brewers,Boston Red Sox,2025-05-27 23:55:00+00:00,HistoricalBasic,2025-05-27 23:59:00+00:00,True,-110.0,-110.0,-210.0,0.023809523809523836,WIN
2025,2025-05-29,777723,ML,AWAY,Philadelphia Phillies,Atlanta Braves,2025-05-29 23:55:00+00:00,HistoricalBasic,2025-05-29 23:59:00+00:00,True,-120.0,-120.0,-10.0,0.021645021645021578,WIN
2025,2025-05-31,777698,ML,AWAY,Los Angeles Dodgers,New York Yankees,2025-05-31 23:55:00+00:00,HistoricalBasic,2025-05-31 23:59:00+00:00,True,-125.0,-125.0,-230.0,0.0677506775067751,WIN
2025,2025-06-06,777622,ML,AWAY,Cleveland Guardians,Houston Astros,2025-06-06 23:55:00+00:00,HistoricalBasic,2025-06-06 23:59:00+00:00,True,-130.0,-130.0,-230.0,0.06521739130434778,WIN
2025,2025-06-09,777581,ML,HOME,St. Louis Cardinals,Toronto Blue Jays,2025-06-09 23:55:00+00:00,HistoricalBasic,2025-06-09 23:59:00+00:00,True,-125.0,-125.0,-20.0,0.04336043360433606,WIN
2025,2025-06-10,777569,ML,AWAY,Cleveland Guardians,Cincinnati Reds,2025-06-10 23:55:00+00:00,HistoricalBasic,2025-06-10 23:59:00+00:00,True,-110.0,-110.0,-210.0,0.023809523809523836,WIN
2025,2025-06-10,777571,ML,AWAY,Philadelphia Phillies,Chicago Cubs,2025-06-10 23:55:00+00:00,HistoricalBasic,2025-06-10 23:59:00+00:00,True,-110.0,-110.0,-210.0,0.023809523809523836,WIN
2025,2025-06-10,777559,ML,HOME,Arizona Diamondbacks,Seattle Mariners,2025-06-10 23:55:00+00:00,HistoricalBasic,2025-06-10 23:59:00+00:00,True,-140.0,-140.0,-35.0,0.07113821138211385,WIN
2025,2025-06-11,777548,ML,HOME,Arizona Diamondbacks,Seattle Mariners,2025-06-11 23:55:00+00:00,HistoricalBasic,2025-06-11 23:59:00+00:00,True,-115.0,-115.0,-215.0,0.03488372093023251,WIN
2025,2025-06-11,777549,ML,AWAY,Cleveland Guardians,Cincinnati Reds,2025-06-11 23:55:00+00:00,HistoricalBasic,2025-06-11 23:59:00+00:00,True,-120.0,-120.0,-15.0,0.03325942350332589,WIN
2025,2025-06-13,777530,ML,AWAY,Washington Nationals,Miami Marlins,2025-06-13 23:55:00+00:00,HistoricalBasic,2025-06-13 23:59:00+00:00,True,-110.0,-110.0,-225.0,0.0586932447397564,WIN
2025,2025-06-13,777531,ML,AWAY,Philadelphia Phillies,Toronto Blue Jays,2025-06-13 23:55:00+00:00,HistoricalBasic,2025-06-13 23:59:00+00:00,True,-110.0,-110.0,-215.0,0.03600464576074336,WIN
2025,2025-06-14,777510,ML,AWAY,Houston Astros,Minnesota Twins,2025-06-14 23:55:00+00:00,HistoricalBasic,2025-06-14 23:59:00+00:00,True,-120.0,-120.0,-230.0,0.06926406926406925,WIN
2025,2025-06-16,777484,ML,AWAY,Tampa Bay Rays,Baltimore Orioles,2025-06-16 23:55:00+00:00,HistoricalBasic,2025-06-16 23:59:00+00:00,True,-110.0,-110.0,-215.0,0.03600464576074336,WIN
